# SMC bar region. Gordon et al. 2003
# Wavelength_Angstrom	Alambda_Av
      90	   179.398
      100	   156.707
      200	   64.3774
      300	   38.2586
      400	   26.4471
      500	   19.8609
      600	   15.7171
      700	   12.8959
      800	   10.8648
      900	   9.34049
      1000	   8.15910
      1100	   7.21966  
      1160.00	   6.99200 
      1190.00	   6.43600 
      1230.00	   6.29700 
      1270.00	   6.07400 
      1310.00	   5.79500 
      1360.00	   5.57500 
      1400.00	   5.27200 
      1450.00	   5.00000 
      1510.00	   4.77600 
      1570.00	   4.47200 
      1630.00	   4.24300 
      1700.00	   4.01300 
      1780.00	   3.86600 
      1860.00	   3.63700 
      1950.00	   3.48900 
      2050.00	   3.29300 
      2160.00	   3.16100 
      2290.00	   2.94700 
      2420.00	   2.66100 
      2580.00	   2.42800 
      2760.00	   2.22000 
      2960.00	   2.00000 
      3700.00	   1.67200 
      4400.00	   1.37400 
      5500.00	   1.00000 
      6500.00	  0.801000 
      8100.00	  0.567000 
      12500.0	  0.131000 
      16500.0	  0.169000 
      21980.0	 0.0160000 
