# lambda[m]	flux[skirtUnits] 
5e-08		1.14362e+31
5.52605e-08	2.50907e+31
6.10744e-08	2.81087e+31
6.75001e-08	2.4131e+31
7.46017e-08	2.81023e+31
8.24506e-08	2.79142e+31
9.11252e-08	1.09767e+32
1.00712e-07	1.26718e+35
1.11308e-07	1.09057e+35
1.23019e-07	1.05769e+35
1.35962e-07	1.29054e+35
1.53e-07	7.69771e+34
1.66076e-07	8.37699e+34
1.83549e-07	7.91373e+34
2.0286e-07	7.50429e+34
2.27e-07	5.99285e+34
2.47791e-07	4.80675e+34
2.73861e-07	4.32208e+34
3.02674e-07	4.95535e+34
3.55e-07	3.20054e+34
3.69713e-07	1.71346e+34
4.08611e-07	2.91089e+34
4.69e-07	1.89466e+34
4.99113e-07	1.96787e+34
5.51625e-07	1.56283e+34
6.17e-07	1.24416e+34
6.73804e-07	6.1773e+34
7.48e-07	1.07513e+34
8.23044e-07	8.0556e+33
8.93e-07	9.03866e+33
1e-06		5.79912e+33
1.0261e-06	2.28636e+33
1.05288e-06	2.06469e+33
1.08037e-06	3.49887e+33
1.10857e-06	1.96381e+33
1.1375e-06	1.89209e+33
1.16719e-06	1.85538e+33
1.19766e-06	1.79774e+33
1.22892e-06	1.74824e+33
1.26099e-06	1.69833e+33
1.29391e-06	1.65641e+33
1.32768e-06	1.62042e+33
1.36233e-06	1.58679e+33
1.39789e-06	1.57576e+33
1.43438e-06	1.56333e+33
1.47182e-06	1.44955e+33
1.51024e-06	1.48355e+33
1.54966e-06	1.43241e+33
1.5901e-06	1.44022e+33
1.63161e-06	1.39449e+33
1.6742e-06	1.38643e+33
1.71789e-06	1.29688e+33
1.76273e-06	1.24568e+33
1.80874e-06	1.20008e+33
1.85596e-06	1.14629e+33
1.9044e-06	1.10591e+33
1.95411e-06	1.05056e+33
2.00511e-06	1.01321e+33
2.05745e-06	9.6133e+32
2.11115e-06	9.10931e+32
2.16625e-06	1.3258e+33
2.2228e-06	8.3566e+32
2.28081e-06	7.91641e+32
2.34035e-06	6.0851e+32
2.40143e-06	5.57877e+32
2.46411e-06	5.31719e+32
2.52843e-06	5.18775e+32
2.59443e-06	5.07915e+32
2.66215e-06	5.15272e+32
2.73163e-06	5.05895e+32
2.80293e-06	4.78692e+32
2.87609e-06	5.22931e+32
2.95116e-06	4.36151e+32
3.02819e-06	5.19318e+32
3.10723e-06	4.02902e+32
3.18834e-06	3.91004e+32
3.27156e-06	4.83483e+32
3.353e-06	3.59233e+32
3.44457e-06	3.70308e+32
3.56e-06	2.94e+32
3.62673e-06	2.44866e+32
3.7214e-06	3.79368e+32
3.81853e-06	2.75134e+32
3.9182e-06	2.6545e+32
4.02047e-06	3.05381e+32
4.12541e-06	2.34395e+32
4.23309e-06	2.27076e+32
4.34358e-06	2.57616e+32
4.51e-06	2.04089e+32
4.603e-06	1.39801e+32
4.69266e-06	3.4073e+32
4.81514e-06	1.88975e+32
4.94082e-06	1.98768e+32
5.06979e-06	2.22699e+32
5.20212e-06	3.12564e+32
