objname,ra2000,de2000,t,type,logd25,d25,bt,incl,ned_v_helio,ned_v_corr,ned_dist_z_corr,ned_dist_0,hyperleda_v_helio,hyperleda_dist_z_helio,hyperleda_dist_0,dist_best
ESO149-013,0.6945,-52.77158,9.9,IB,1.07,1.174897696838254,15.71,90.0,1500.0,1483.0,20.2484980885,,1498,20.45330420535226,,20.2484980885
NGC0007,2.08695,-29.91534,4.8,Sc,1.39,2.4547088348300035,14.34,86.6,1495.0,1502.0,20.5079191699,20.62,1499,20.466957946477326,20.60630528666113,20.6063052867
ESO410-005,3.8802000000000003,-32.18061,0.4,S0-a,1.11,1.288249594126457,14.93,51.8,159.0,164.0,2.23921354451,1.9,36,0.49153468050245774,1.940886354939398,1.94088635494
IC0010,5.0962499999999995,59.2931,9.9,IB,1.82,6.606935278031127,11.78,31.1,-348.0,-69.0,-0.94210813763,0.88,-345,,0.7943284091521297,0.794328409152
NGC0115,6.6933,-33.67698,3.9,SBbc,1.32,2.089296383189619,13.67,74.4,1825.0,1821.0,24.8634625887,29.98,1828,24.95903877662479,28.707817923917503,28.7078179239
ESO410-012,7.0752,-27.98335,4.7,Sc,1.15,1.4125374670774022,16.08,82.8,1545.0,1539.0,21.0131075915,,1544,21.08137629710539,,21.0131075915
NGC0131,7.41045,-33.25987,3.0,SBb,1.26,1.819700818650877,13.77,73.8,1410.0,1399.0,19.101583834,,1416,19.33369743309666,,19.101583834
UGC00300,7.5174,3.51291,10.0,IAB,1.02,1.0471285020627683,,24.0,1346.0,1373.0,18.7465865647,17.8,1345,18.364281813216817,,17.8
UGC00313,7.8588000000000005,6.20675,4.3,Sbc,1.08,1.20226455342066,14.35,55.9,2085.0,2075.0,28.3315128345,,2084,28.45439650464227,,28.3315128345
UGC00320,8.1285,2.57422,6.1,Sc,1.1,1.2589254809065389,16.05,90.0,2374.0,2348.0,32.0589841617,40.83,2374,32.41398143091207,41.30476688814569,41.3047668881
NGC0147,8.30025,48.50874,-4.8,E,1.97,9.332543622774422,10.59,90.0,-193.0,85.0,1.16056799563,0.75,-193,,0.7079456289251888,0.707945628925
ESO410-018,8.54625,-30.77392,8.9,SABm,1.19,1.5488168229767911,14.14,32.3,1582.0,1571.0,21.4500273075,19.0,1584,21.62752594210813,,19.0
NGC0148,8.56455,-31.78615,-2.0,S0,1.3,1.9952620958974432,13.11,90.0,1516.0,1504.0,20.5352266521,26.23,1574,21.49098853085745,,26.23
NGC0150,8.56455,-27.8037,3.4,SBb,1.55,3.54813350276553,11.97,66.9,1584.0,1574.0,21.4909885309,21.01,1584,21.62752594210813,21.08629890953448,21.0862989095
ESO411-013,11.77665,-31.58135,9.0,SBm,1.09,1.2302688653672373,15.85,90.0,1760.0,1742.0,23.7848170399,,1760,24.03058438012014,,23.7848170399
NGC0254,11.8665,-31.42211,-1.2,S0-a,1.44,2.754229066221527,12.59,57.4,1629.0,1610.0,21.9825232114,17.1,1626,22.200983069361,,17.1
NGC0253,11.88795,-25.28844,5.1,SABc,2.43,26.915352176539013,7.93,90.0,243.0,251.0,3.42708902239,3.24,246,3.3588203167667943,3.6982804334552326,3.69828043346
ESO411-016,11.91495,-27.94758,1.8,Sab,1.01,1.0232929698100972,15.25,68.5,1783.0,1764.0,24.0851993446,,1768,24.13981430912068,,24.0851993446
NGC0274,12.757950000000001,-7.05706,-2.8,E-S0,1.1,1.2589254809065389,13.40,37.8,1750.0,1731.0,23.6346258875,27.52,1721,23.498088476242486,19.319694370215803,19.3196943702
NGC0275,12.7689,-7.06629,6.0,SBc,1.24,1.7378008669100269,12.81,38.2,1744.0,1725.0,23.5527034407,21.9,1748,23.866739486619323,,21.9
NGC0289,13.17645,-31.20581,4.0,SBbc,1.53,3.388441338170015,11.70,43.0,1629.0,1607.0,21.941561988,21.06,1630,22.255598033861276,20.79695919874754,20.7969591987
ESO411-026,13.18965,-31.71818,9.0,SBm,1.06,1.14815347022194,15.85,78.5,1580.0,1557.0,21.2588749317,,1608,21.955215729109774,,21.2588749317
ESO411-027,13.215,-27.32558,5.7,Sc,1.1,1.2589254809065389,16.02,77.5,1829.0,1806.0,24.6586564719,,1816,24.795193883123964,,24.6586564719
NGC0300,13.723049999999999,-37.68448,6.9,Scd,2.29,19.49844428490234,8.76,48.5,144.0,109.0,1.48825778263,1.95,165,2.2528672856362646,2.023020262619457,2.02302026262
NGC0337,14.95875,-7.57818,6.7,SBcd,1.47,2.9512094210846427,12.01,50.6,1646.0,1624.0,22.1736755871,20.79,1649,22.51501911523757,18.19699819673495,18.1969981967
ESO351-030,15.038850000000002,-33.709,-4.8,E,1.06,1.14815347022194,10.36,51.4,110.0,89.0,1.21518296013,0.08,109,1.4882577826324415,0.08433340614529787,0.0843334061453
IC1613,16.199099999999998,2.11773,9.9,I,2.26,18.197008186508768,10.00,22.9,-234.0,-73.0,-0.99672310213,0.73,-236,,0.7550918496143273,0.755091849614
NGC0428,18.231749999999998,0.98168,8.6,SABm,1.45,2.818383240711117,11.95,47.9,1152.0,1157.0,15.7973784817,13.44,1155,15.77007099945384,14.791086480080835,14.7910864801
UGC00772,18.414299999999997,0.87459,9.8,I,1.08,1.20226455342066,16.10,45.5,1161.0,1165.0,15.9066084107,,1174,16.029492080830142,,15.9066084107
NGC0448,18.81885,-1.62626,-2.4,S0,1.2,1.58489336647576,13.35,90.0,1908.0,1869.0,25.5188421628,27.12,1927,26.310759148006547,30.060741374708854,30.0607413747
NGC0450,18.87675,-0.86092,5.8,SABc,1.47,2.9512094210846427,12.80,49.8,1761.0,1729.0,23.6073184052,18.59,1774,24.221736755871095,17.458206501188805,17.4582065012
NGC0493,20.53785,0.94576,5.9,Sc,1.48,3.019951853033241,12.96,74.7,2338.0,2277.0,31.0895685418,24.74,2441,33.328782086291625,22.908658417692152,22.9086584177
UGC00931,20.81055,-0.70107,4.7,Sc,1.01,1.0232929698100972,16.09,79.0,2019.0,1971.0,26.9115237575,31.83,1987,27.12998361551065,,31.83
PGC093080,21.143700000000003,3.7897,5.6,Sc,1.19,1.5488168229767911,,70.6,2266.0,2208.0,30.1474604042,,2171,29.642271982523198,,30.1474604042
NGC0520,21.14445,3.7942,1.3,Sa,1.61,4.073802912227076,12.21,75.7,2281.0,2223.0,30.352266521,30.2,2161,29.50573457127252,,30.2
NGC0584,22.8363,-6.86805,-4.7,E,1.58,3.8018943388944666,11.33,82.8,1802.0,1756.0,23.9759694156,19.09,1850,25.259421081376296,19.952631912548657,19.9526319125
NGC0586,22.90365,-6.89375,0.7,Sa,1.21,1.6218102398133032,14.08,68.7,1875.0,1826.0,24.9317312944,,1868,25.505188421627516,,24.9317312944
NGC0613,23.5758,-29.41844,4.0,Sbc,1.74,5.495408859250822,10.74,35.7,1481.0,1437.0,19.6204259967,25.27,1481,20.22119060622609,26.42408339541377,26.4240833954
NGC0625,23.771250000000002,-41.43676,9.0,SBm,1.82,6.606935278031127,11.64,90.0,396.0,325.0,4.43746586565,3.75,389,5.311305297651556,3.9994496756596165,3.99944967566
NGC0628,24.174,15.78332,5.2,Sc,2.0,10.0,9.70,19.8,657.0,725.0,9.89896231567,9.01,658,8.98416166029492,10.139114837011222,10.139114837
NGC0678,27.35355,21.99728,3.0,SBb,1.49,3.0902955003738914,13.35,90.0,2835.0,2766.0,37.7662479519,27.87,2793,38.13489896231566,,27.87
NGC0720,28.252200000000002,-13.73858,-4.9,E,1.65,4.466835676289697,11.15,90.0,1745.0,1691.0,23.0884762425,23.18,1717,23.44347351174221,27.415724380914444,27.4157243809
PGC007045,28.51305,-14.25298,-0.1,S0-a,1.2,1.58489336647576,14.63,90.0,1423.0,1378.0,18.8148552703,,1428,19.497542326597486,,18.8148552703
NGC0855,33.51495,27.87685,-4.8,E,1.47,2.9512094210846427,13.28,90.0,592.0,693.0,9.46204259967,9.28,592,8.083014746040412,9.638294807854502,9.63829480785
PGC008962,35.36925,-4.4131,6.9,SBcd,1.17,1.4791082420082973,15.77,80.6,2316.0,2234.0,30.5024576734,,2316,31.622064445658093,,30.5024576734
NGC0895,35.40195,-5.52139,6.0,Sc,1.52,3.3113110693986716,12.30,49.1,2288.0,2207.0,30.133806663,28.57,2288,31.23975969415619,35.31834427894172,35.3183442789
NGC0891,35.639700000000005,42.34712,3.1,Sb,2.12,13.182563911826833,10.84,90.0,528.0,689.0,9.40742763517,10.09,528,7.209175314036044,9.862793903365798,9.86279390337
NGC0925,36.82035,33.579,7.0,Scd,2.03,10.715192346486086,10.59,58.7,553.0,676.0,9.22992900055,8.61,554,7.564172583287821,9.20449038148557,9.20449038149
PGC009485,37.381949999999996,-3.213,0.3,S0-a,1.18,1.5135610656352623,13.78,46.0,2435.0,2348.0,32.0589841617,,2437,33.27416712179135,,32.0589841617
NGC1052,40.2699,-8.2558,-4.7,E,1.47,2.9512094210846427,11.45,70.5,1510.0,1454.0,19.8525395958,19.72,1484,20.262151829601297,17.538803323812818,17.5388033238
NGC1068,40.669650000000004,-0.01324,3.0,Sb,1.79,6.165949477018448,9.74,24.1,1137.0,1109.0,15.1419989077,12.58,1138,15.537957400327684,10.09253320458804,10.0925332046
NGC1056,40.701449999999994,28.57372,1.0,Sa,1.27,1.8620870548831208,13.33,46.7,1545.0,1561.0,21.3134898962,26.8,1544,21.08137629710539,31.18892707157587,31.1889270716
NGC1097,41.57955,-30.27497,3.3,SBb,2.02,10.471285020627684,10.14,55.0,1271.0,1203.0,16.4254505735,19.61,1269,17.326597487711624,14.723132525063031,14.7231325251
NGC1140,43.6398,-10.02833,9.2,SBm,1.31,2.0417376756604138,12.78,73.8,1501.0,1443.0,19.7023484435,18.23,1501,20.494265428727466,18.113416518203323,18.1134165182
PGC166069,43.92825,58.86062,10.0,I,1.2,1.58489336647576,19.59,90.0,59.0,299.0,4.0824685964,,59,0.8055707263790279,,4.0824685964
UGC02392,43.9434,33.76658,5.9,Sc,1.12,1.3182567530303144,15.22,76.6,1548.0,1583.0,21.613872201,26.52,1546,21.10868377935554,,26.52
NGC1189,45.85215,-15.62342,7.9,Sd,1.15,1.4125374670774022,14.43,90.0,2544.0,2461.0,33.6018569088,,2591,35.37684325505186,,33.6018569088
NGC1199,45.910500000000006,-15.61384,-4.8,E,1.45,2.818383240711117,12.39,50.6,2570.0,2486.0,33.9432004369,33.76,2682,36.61933369743308,32.80954977266033,32.8095497727
NGC1222,47.2365,-2.95531,-2.6,E-S0,1.2,1.58489336647576,13.15,67.8,2422.0,2337.0,31.9087930093,31.0,2455,33.51993446204258,,31.0
PGC166071,47.9955,60.34689,10.0,I,1.45,2.818383240711117,19.00,90.0,,,,42.73,2767,37.77990169306389,,42.73
ESO116-012,48.2697,-57.35714,6.8,SBcd,1.56,3.6307800693276415,13.04,82.8,1146.0,1040.0,14.1998907701,20.44,1144,15.619879847078094,21.978599113953553,21.978599114
NGC1266,49.0032,-2.42735,-2.3,S0,1.17,1.4791082420082973,14.33,58.2,2170.0,2095.0,28.604587657,,2184,29.819770617149082,,28.604587657
PGC012608,50.4654,-15.71055,9.0,Sm,1.15,1.4125374670774022,15.58,72.5,2006.0,1935.0,26.419989077,27.7,2007,27.403058438011996,27.669410864221295,27.6694108642
NGC1316,50.6739,-37.20821,-1.8,S0,2.13,13.489632380568446,9.41,67.8,1760.0,1694.0,23.1294374659,18.99,1788,24.41288913162206,20.417376756604135,20.4173767566
NGC1317,50.684400000000004,-37.10381,0.8,SABa,1.49,3.0902955003738914,11.85,35.0,1941.0,1880.0,25.6690333151,16.9,1948,26.59748771163298,,16.9
NGC1320,51.20295,-3.04223,0.9,Sa,1.27,1.8620870548831208,13.34,80.5,2663.0,2573.0,35.1310759148,37.7,2670,36.455488803932276,,37.7
NGC1336,51.6342,-35.71366,-3.0,E-S0,1.29,1.949844428490234,13.15,56.0,1418.0,1343.0,18.336974331,20.96,1418,19.361004915346804,18.113416518203323,18.1134165182
ESO358-006,51.82515,-34.52639,-3.8,E,1.17,1.4791082420082973,13.95,90.0,1279.0,1201.0,16.3981430912,21.1,1267,17.299290005461486,20.417376756604135,20.4173767566
NGC1351A,52.20315,-35.17825,4.2,SBbc,1.4,2.511886293612277,13.80,82.1,1353.0,1276.0,17.4221736756,22.01,1353,18.47351174221736,19.408863549393978,19.4088635494
NGC1351,52.64565,-34.85402,-3.1,E-S0,1.53,3.388441338170015,12.44,65.3,1514.0,1442.0,19.6886947023,19.87,1482,20.23484434735116,18.967053880902764,18.9670538809
PGC013058,52.7844,-36.29007,-4.5,E,1.02,1.0471285020627683,14.61,90.0,1813.0,1749.0,23.8803932277,19.6,1817,24.80884762424903,19.14256210862216,19.1425621086
PGC013084,52.85339999999999,-35.33108,-2.0,S0,1.09,1.2302688653672373,14.50,53.2,1275.0,1196.0,16.3298743856,18.94,1288,17.586018569087923,19.49844428490234,19.4984442849
PGC013097,52.9485,-35.05186,-2.2,S0,1.07,1.174897696838254,15.30,50.0,1660.0,1591.0,21.72310213,21.02,1660,22.665210267613325,20.323574215217583,20.3235742152
PGC013146,53.1987,-34.23869,-2.8,E-S0,1.12,1.3182567530303144,14.89,90.0,2064.0,2004.0,27.3620972146,19.48,2051,28.003823047515006,19.588438476260592,19.5884384763
ESO358-015,53.27805,-34.80702,8.7,SBm,1.03,1.0715192346486087,15.17,39.9,1388.0,1313.0,17.9273620972,16.1,1386,18.92408519934462,16.143592374659026,16.1435923747
ESO358-016,53.28885,-35.71908,7.1,Scd,1.05,1.1220183311090417,16.58,90.0,1700.0,1632.0,22.2829055161,,1698,23.18405243036591,,22.2829055161
NGC1365,53.40165,-36.14051,3.2,Sb,2.08,12.022642234116695,10.36,62.7,1636.0,1566.0,21.3817586019,17.7,1638,22.364827962861813,17.298160249443285,17.2981602494
PGC013230,53.6229,-35.54649,-2.4,S0,1.1,1.2589254809065389,14.52,45.8,1205.0,1123.0,15.3331512835,18.73,1205,16.452758055707253,18.706834877448046,18.7068348774
ESO358-019,53.6286,-34.2975,-3.0,E-S0,1.07,1.174897696838254,15.53,90.0,1254.0,1175.0,16.043145822,,1363,18.610049153468047,,16.043145822
NGC1373,53.74665,-35.1711,-3.6,E,1.08,1.20226455342066,14.11,22.4,1334.0,1256.0,17.1490988531,18.62,1334,18.214090660841062,19.054595463785965,19.0545954638
NGC1374,53.8191,-35.22633,-4.5,E,1.46,2.8840317564502844,12.00,29.3,1294.0,1215.0,16.589295467,19.31,1294,17.667941015838334,19.408863549393978,19.4088635494
NGC1375,53.820150000000005,-35.26562,-2.2,S0,1.36,2.290867728226077,13.17,90.0,740.0,644.0,8.79300928454,18.08,784,10.704533042053523,19.86094271885353,19.8609427189
IC0335,53.87895,-34.44708,-2.1,S0,1.42,2.630267731982223,12.99,90.0,1619.0,1549.0,21.1496450027,18.11,1636,22.337520480611676,20.51161223939545,20.5116122394
NGC1379,54.0159,-35.44116,-4.8,E,1.43,2.6915344788557576,11.84,22.9,1324.0,1245.0,16.9989077007,17.85,1324,18.07755324959038,18.967053880902764,18.9670538809
NGC1381,54.13215,-35.29521,-2.1,S0,1.41,2.5703955852157847,12.42,90.0,1724.0,1657.0,22.6242490442,18.04,1727,23.580010922992898,21.677039334562206,21.6770393346
NGC1377,54.1629,-20.90202,-2.1,S0,1.32,2.089296383189619,13.49,90.0,1792.0,1726.0,23.5663571819,23.35,1783,24.34462042599672,,23.35
NGC1369,54.1884,-36.25615,0.1,S0-a,1.35,2.238721261469447,13.63,42.5,1414.0,1338.0,18.2687056253,,1414,19.306389950846523,,18.2687056253
NGC1386,54.19245,-35.99923,-0.7,S0-a,1.56,3.6307800693276415,12.07,90.0,868.0,774.0,10.5679956308,16.15,895,12.220098306936098,16.3681557252971,16.3681557253
NGC1380A,54.197849999999995,-34.73962,-1.9,S0,1.44,2.754229066221527,13.29,90.0,1561.0,1490.0,20.3440742764,17.34,1608,21.955215729109774,19.769696574769,19.7696965748
PGC013343,54.2262,-35.37464,-2.8,E-S0,1.03,1.0715192346486087,14.81,26.2,1693.0,1625.0,22.1873293282,19.78,1663,22.706171490988517,19.319694370215803,19.3196943702
NGC1387,54.23775,-35.50663,-2.8,E-S0,1.48,3.019951853033241,11.77,18.9,1302.0,1223.0,16.698525396,17.69,1260,17.203713817586014,19.14256210862216,19.1425621086
NGC1389,54.2988,-35.74602,-2.8,E-S0,1.41,2.5703955852157847,12.42,77.2,921.0,830.0,11.3326051338,17.99,921,12.57509557618787,20.989400126782222,20.9894001268
ESO358-042,54.538199999999996,-34.51858,-2.2,S0,1.09,1.2302688653672373,15.44,82.9,1138.0,1055.0,14.4046968869,19.98,1162,15.865647187329321,20.417376756604135,20.4173767566
ESO358-043,54.556799999999996,-33.12725,-3.0,E-S0,1.12,1.3182567530303144,15.00,90.0,1369.0,1294.0,17.6679410158,20.72,1381,18.855816493719274,20.79695919874754,20.7969591987
NGC1399,54.62115,-35.45063,-4.6,E,1.93,8.511379354058503,10.43,34.2,1425.0,1349.0,18.4188967777,17.53,1426,19.470234844347342,20.51161223939545,20.5116122394
NGC1404,54.716249999999995,-35.59424,-4.8,E,1.7,5.011872886555352,10.89,39.5,1947.0,1886.0,25.7509557619,19.18,1946,26.570180229382842,20.04472238644503,20.0447223864
NGC1427A,55.03875,-35.62451,9.9,IB,1.35,2.238721261469447,13.40,59.0,2028.0,1969.0,26.8842162753,16.4,2026,27.662479519388306,,16.4
NGC1412,55.12245,-26.86225,-2.2,S0,1.03,1.0715192346486087,13.76,90.0,1790.0,1724.0,23.5390496996,,1790,24.4401966138722,,23.5390496996
NGC1419,55.17555,-37.51088,-4.9,E,1.17,1.4791082420082973,13.50,37.6,1593.0,1522.0,20.7809939924,21.75,2133,29.123429819770607,22.594362465280764,22.5943624653
ESO358-050,55.265100000000004,-33.77946,-2.1,S0,1.21,1.6218102398133032,13.76,90.0,1255.0,1176.0,16.0567995631,17.84,1299,17.736209721463677,19.67884803175559,19.6788480318
ESO358-051,55.38585,-34.88838,0.3,S0-a,1.15,1.4125374670774022,14.08,71.5,1724.0,1657.0,22.6242490442,14.3,1713,23.388858547241938,,14.3
NGC1427,55.58085,-35.39278,-4.0,E,1.64,4.36515817861883,11.78,70.5,1388.0,1311.0,17.900054615,19.2,1388,18.951392681594747,19.14256210862216,19.1425621086
NGC1428,55.59555,-35.15361,-3.0,E-S0,1.17,1.4791082420082973,13.84,90.0,1640.0,1571.0,21.4500273075,20.12,1638,22.364827962861813,20.417376756604135,20.4173767566
PGC013635,55.689150000000005,-33.9202,-5.0,E,1.1,1.2589254809065389,14.32,50.4,1225.0,1145.0,15.6335335882,,1252,17.094483888585465,,15.6335335882
ESO358-054,55.75965,-36.27269,7.9,SABd,1.22,1.6595870167669808,13.95,48.0,886.0,791.0,10.8001092299,16.9,892,12.179137083560887,,16.9
PGC166861,55.81335,68.2611,-5,E,1.34,2.1877617920945056,17.70,90.0,1320.0,1547.0,21.1223375205,,1320,18.022938285090106,,21.1223375205
ESO358-056,55.84425,-33.94002,-2.2,S0,1.15,1.4125374670774022,15.38,90.0,1189.0,1108.0,15.1283451666,26.85,1105,15.087383943200434,21.37961713919407,21.3796171392
NGC1436,55.9044,-35.85304,2.0,Sab,1.47,2.9512094210846427,12.45,48.1,1387.0,1310.0,17.8864008738,17.77,1389,18.965046422719812,15.559653172622442,15.5596531726
UGC02826,55.9398,68.30131,5.0,Sc,1.08,1.20226455342066,14.89,55.9,1316.0,1543.0,21.067722556,,1313,17.927362097214623,,21.067722556
ESO358-059,56.265,-35.9727,-3.3,E-S0,1.14,1.3803842191347617,14.01,42.1,1021.0,931.0,12.7116329874,19.35,1041,14.213544511196062,19.588438476260592,19.5884384763
ESO358-060,56.301300000000005,-35.57055,9.8,IB,1.21,1.6218102398133032,15.76,90.0,803.0,707.0,9.65319497542,15.7,803,10.963954123429819,,15.7
PGC166077,56.30385,67.86466,10.0,I,1.4,2.511886293612277,16.27,53.8,105.0,360.0,4.91534680502,3.16,-66,,3.16,3.16
NGC1437B,56.47875,-36.35695,8.3,Sd,1.46,2.8840317564502844,13.83,90.0,1497.0,1423.0,19.429273621,8.68,1496,20.425996723102124,10.28016496781011,10.2801649678
NGC1460,56.5572,-36.6964,-1.9,S0,1.28,1.9054605924362857,13.48,37.1,1373.0,1295.0,17.681594757,21.02,1341,18.309666848716546,19.67884803175559,19.6788480318
ESO358-063,56.5791,-34.94359,6.9,Scd,1.63,4.265795141179281,12.61,75.6,1929.0,1868.0,25.5051884216,18.98,1930,26.35172037138174,16.826734107485976,16.8267341075
IC0342,56.7054,68.10139,6.0,SABc,2.3,19.952620958974435,9.67,18.5,31.0,279.0,3.80939377389,3.06,25,0.3413435281267068,3.435581470679965,3.43558147068
ESO358-066,56.96939999999999,-36.47167,-3.8,E,1.04,1.0964780998322172,15.15,90.0,1856.0,1793.0,24.4811578372,19.74,1493,20.38503549972691,19.769696574769,19.7696965748
ESO359-002,57.65295,-35.90937,-3.4,E-S0,1.1,1.2589254809065389,14.23,65.3,1430.0,1354.0,18.4871654833,17.03,1430,19.52484980884762,19.14256210862216,19.1425621086
NGC1481,58.620749999999994,-20.42722,-3.0,E-S0,1.01,1.0232929698100972,14.56,51.3,1807.0,1744.0,23.8121245221,,1728,23.593664664117956,,23.8121245221
NGC1482,58.662150000000004,-20.50232,-0.8,S0-a,1.39,2.4547088348300035,13.09,63.2,1916.0,1853.0,25.3003823048,19.6,1860,25.395958492626967,,19.6
ESO549-035,58.76625,-20.38338,6.0,Sc,1.01,1.0232929698100972,15.43,45.9,1778.0,1716.0,23.4298197706,39.0,1817,24.80884762424903,38.904528168399445,38.9045281684
