name,IRAS_12,IRAS_12_err,IRAS_25,IRAS_25_err,IRAS_60,IRAS_60_err,IRAS_100,IRAS_100_err
ESO097-013,20.12,4.024298491750397,70.47,14.09412795747488,229.37,45.87790957939262,322.51,64.72233889156469
ESO116-012,0.24,0.05556977546654429,0.52,0.11072488028297411,0.86,0.17593464985464874,3.15,0.6378871564239371
ESO149-001,0.04,0.02247220472601321,0.16,0.03721558720492832,0.52,0.1077032926838449,1.25,0.26188547163035747
ESO149-013,,,,,,,-0.05,0.10348429845893214
ESO157-047,,,,,0.1,0.03440930194467626,0.11,0.0878009119926817
ESO157-049,0.13,0.030528674631035528,0.21,0.0449444091536346,2.03,0.4071068598211846,5.37,1.0792182126756489
ESO209-009,0.51,0.10394228972376686,0.65,0.13152945959876067,7.21,1.4473216717442559,27.36,5.568280378474181
ESO240-004,,,,,,,0.03,0.12414507439203665
ESO289-020,0.11,0.03640054870954311,,,0.1,0.05107836979235284,0.33,0.16479380527833537
ESO351-030,,,,,,,,
ESO358-006,0.04,0.026248809797120874,0.06,0.02505992793919188,,,,
ESO358-015,0.06,0.0268328157966375,,,0.02,0.03423448736188902,0.3,0.10650821659467856
ESO358-016,,,0.11,0.035608988235468916,0.08,0.06306346067400063,0.21,0.1271377176376879
ESO358-019,0.01,0.022090721911607537,0.03,0.0247386339235669,,,,
ESO358-042,0.08,0.02561249637724748,0.02,0.019416487222686175,0.05,0.030675722560051643,,
ESO358-043,0.09,0.030805844321746136,,,0.03,0.04440720636799662,0.22,0.10833743523271948
ESO358-050,0.03,0.021840329358769936,,,0.04,0.03201562065191505,,
ESO358-051,,,0.06,0.031384708779335954,0.44,0.09470480413636614,1.19,0.2530612691617107
ESO358-054,0.06,0.02863564250121992,,,0.15,0.050000000000000024,0.61,0.16765739225547738
ESO358-056,0.06,0.02418677286600203,,,0.09,0.03244996245865863,0.37,0.11269871469158663
ESO358-059,,,,,,,0.22,0.1156935613802224
ESO358-060,0.13,0.034058771926828595,0.05,0.021470910082346847,,,,
ESO358-063,0.23,0.0493963566356448,0.3,0.06264184111444464,2.8,0.5609135311401594,9.44,1.8897797976158315
ESO358-066,,,,,,,0.21,0.12242957310089754
ESO359-002,,,,,,,,
ESO373-008,0.14,0.03623534198447809,0.21,0.04887739670314971,2.89,0.579907772066015,8.14,1.6436119437974575
ESO377-039,,,,,,,,
ESO405-014,,,,,,,,
ESO406-031,,,-0.0,0.05400000140070915,,,0.25,0.1364880984902766
ESO407-002,0.15,0.03720215136629018,,,0.31,0.07271863561882726,1.21,0.25583784545728444
ESO407-018,,,,,,,0.22,0.16208639974790676
ESO410-005,,,,,,,,
ESO410-012,,,,,,,,
ESO410-018,0.03,0.03649657363110655,,,0.05,0.05787054524002428,0.49,0.16763055325383214
ESO411-013,,,,,,,0.06,0.1514760638037998
ESO411-016,0.07,0.026925824104849425,,,0.14,0.04252058447329367,0.38,0.12640016046433517
ESO411-026,,,,,,,0.52,0.16183942258904851
ESO411-027,,,0.08,0.039395429645785254,,,,
ESO428-014,0.41,0.08489994038544935,1.9,0.3808214757529623,4.39,0.8811974543521882,5.37,1.2215563723453644
ESO434-040,,,,,,,,
ESO471-006,,,,,,,,
ESO491-020,0.68,0.14043147937528086,2.58,0.516759116321453,15.23,3.0464268319070915,22.64,4.534250422852875
ESO491-021,0.67,0.1404279204680537,2.61,0.5237680576568179,14.98,2.996504705716853,23.76,4.757807208660147
ESO493-016,0.79,0.17755281297334805,1.52,0.32432236622862237,13.18,2.6591345053616644,28.31,6.262097694491715
ESO495-021,1.28,0.2629372489956111,6.75,1.3503332921763305,23.72,4.74440498870995,26.26,5.258042267125449
ESO549-035,,,,,0.02,0.03324154008891623,0.38,0.14972307137495458
ESO560-004,0.2,0.06963476180099405,0.27,0.06720119165771758,3.78,0.7608758057992215,9.08,1.9412500947037261
ESO603-031,0.35,0.08268010529822856,,,0.26,0.0735391046533451,-0.32,0.19670282524074537
HS98117,,,0.06,0.0268328157966375,0.09,0.05314132196563248,-1.15,0.6128001459956932
IC0010,0.92,0.18895767079936057,4.71,0.942806986841179,42.1,8.423534345046498,91.02,18.532519186476666
IC0335,0.08,0.0240831883408517,0.01,0.01811076950121703,,,0.17,0.09247702702112914
IC0342,,,,,,,174.5,35.384090932735695
IC0610,0.06,0.03984971644439472,0.3,0.07323933532288367,1.45,0.2941105326330972,4.42,0.8936537507665843
IC0691,0.21,0.05047771724483577,0.56,0.11414026503196108,3.55,0.7112411591086812,4.57,0.9196738891423968
IC0755,,,0.14,0.054708316144797715,0.89,0.18435834405182253,1.21,0.2826305062551865
IC0781,,,0.08,0.05440588295520811,,,,
IC0782,,,,,,,,
IC0783,,,0.12,0.05277309753059989,,,,
IC0794,,,0.08,0.05440588295520811,0.11,0.05371219479008288,,
IC0797,0.1,0.04833218380065289,0.06,0.06609840908538232,0.7,0.14588008577352848,2.21,0.46517631660953096
IC0800,-0.08,0.04123105499125475,0.09,0.05408326847070569,0.49,0.11237882514538841,1.07,0.2733056989853417
IC0902,0.15,0.03969886773474212,0.18,0.042190047377925755,0.98,0.19875865134267648,2.96,0.6019510017114976
IC0976,,,,,0.1,0.061351445120103286,0.22,0.2028299769613882
