name,IRAS_12,IRAS_12_err,IRAS_12_flag,IRAS_25,IRAS_25_err,IRAS_25_flag,IRAS_60,IRAS_60_err,IRAS_60_flag,IRAS_100,IRAS_100_err,IRAS_100_flag
ESO097-013,20.12,4.024298491750397,e,70.47,14.09412795747488,e,229.37,45.87790957939262,e,322.51,64.72233889156469,e
ESO116-012,0.24,0.0555697754665,e,0.52,0.110724880283,e,0.86,0.175934649855,,3.15,0.637887156424,
ESO149-001,0.04,0.022472204726,e,0.16,0.0372155872049,e,0.52,0.107703292684,,1.25,0.26188547163,
ESO149-013,,,,,,,,,,-0.05,0.103484298459,
ESO157-047,,,,,,,0.1,0.0344093019447,,0.11,0.0878009119927,
ESO157-049,0.13,0.030528674631,e,0.21,0.0449444091536,e,2.03,0.407106859821,,5.37,1.07921821268,
ESO209-009,0.51,0.103942289724,e,0.65,0.131529459599,e,7.21,1.44732167174,e,27.36,5.56828037847,e
ESO240-004,,,,,,,,,,0.03,0.124145074392,
ESO289-020,0.11,0.0364005487095,e,,,,0.1,0.0510783697924,,0.33,0.164793805278,
ESO351-030,,,,,,,,,,,,
ESO358-006,0.04,0.0262488097971,e,0.06,0.0250599279392,e,,,,,,
ESO358-015,0.06,0.0268328157966,e,,,,0.02,0.0342344873619,,0.3,0.106508216595,
ESO358-016,,,,0.11,0.0356089882355,e,0.08,0.063063460674,,0.21,0.127137717638,
ESO358-019,0.01,0.0220907219116,e,0.03,0.0247386339236,e,,,,,,
ESO358-042,0.08,0.0256124963772,e,0.02,0.0194164872227,e,0.05,0.0306757225601,,,,
ESO358-043,0.09,0.0308058443217,e,,,,0.03,0.044407206368,,0.22,0.108337435233,
ESO358-050,0.03,0.0218403293588,e,,,,0.04,0.0320156206519,,,,
ESO358-051,,,,0.06,0.0313847087793,e,0.44,0.0947048041364,,1.19,0.253061269162,
ESO358-054,0.06,0.0286356425012,e,,,,0.15,0.05,,0.61,0.167657392255,
ESO358-056,0.06,0.024186772866,e,,,,0.09,0.0324499624587,,0.37,0.112698714692,
ESO358-059,,,,,,,,,,0.22,0.11569356138,
ESO358-060,0.13,0.0340587719268,e,0.05,0.0214709100823,e,,,,,,
ESO358-063,0.23,0.0493963566356,e,0.3,0.0626418411144,e,2.8,0.56091353114,e,9.44,1.88977979762,
ESO358-066,,,,,,,,,,0.21,0.122429573101,
ESO359-002,,,,,,,,,,,,
ESO373-008,0.14,0.0362353419845,e,0.21,0.0488773967031,e,2.89,0.579907772066,e,8.14,1.6436119438,e
ESO377-039,,,,,,,,,,,,
ESO405-014,,,,,,,,,,,,
ESO406-031,,,,-0.0,0.0540000014007,e,,,,0.25,0.13648809849,
ESO407-002,0.15,0.0372021513663,e,,,,0.31,0.0727186356188,,1.21,0.255837845457,
ESO407-018,,,,,,,,,,0.22,0.162086399748,
