name,Planck_350,Planck_350_err,Planck_350_flag,Planck_550,Planck_550_err,Planck_550_flag,Planck_850,Planck_850_err,Planck_850_flag,Planck_1380,Planck_1380_err,Planck_1380_flag,Planck_2100,Planck_2100_err,Planck_2100_flag,Planck_3000,Planck_3000_err,Planck_3000_flag,Planck_4260,Planck_4260_err,Planck_4260_flag,Planck_6810,Planck_6810_err,Planck_6810_flag,Planck_10600,Planck_10600_err,Planck_10600_flag
ESO097-013,60.807213,8.62912188849,e,16.606062,2.7222989,e,4.4593368,0.8436917,e,1.1695954,0.26480523,e,,,,0.5000786,0.2782215,,,,,,,,,,
ESO116-012,1.2903122,0.517168437847,C,0.2125056,0.25410134,C,,,,,,,,,,,,,,,,,,,,,
ESO149-001,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO149-013,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO157-047,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO157-049,0.9019652,0.275332665172,C,,,,,,,,,,,,,,,,,,,,,,,,
ESO209-009,14.304373,3.78945997911,,4.5321226,1.3326298,,1.4769552,0.3862064,,0.33349115,0.067794934,,,,,,,,,,,,,,,,
ESO240-004,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO289-020,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO351-030,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO358-006,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO358-015,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO358-016,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO358-019,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO358-042,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO358-043,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO358-050,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO358-051,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO358-054,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO358-056,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO358-059,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO358-060,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO358-063,3.649534,0.418078981554,,1.1203731,0.21661079,,0.45984522,0.0715055,,0.022056518,0.1019097,,,,,,,,,,,,,,,,
ESO358-066,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO359-002,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO373-008,4.6621046,0.516085682458,,1.7040538,0.2519073,,0.5115409,0.13119443,,,,,,,,,,,,,,,,,,,
ESO377-039,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO405-014,,,,,,,,,,,,,0.31127405,0.121170044,,,,,0.58490616,0.19669959,,,,,0.55026186,0.2448546,
ESO406-031,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO407-002,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO407-018,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO410-005,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO410-012,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO410-018,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO411-013,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO411-016,,,,,,,-0.050941117,0.105492316,,,,,,,,,,,,,,,,,,,
ESO411-026,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO411-027,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO428-014,0.81194437,1.89150153352,,,,,,,,,,,,,,,,,,,,,,,,,
ESO434-040,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO471-006,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO491-020,3.5861905,0.756403326415,C,,,,,,,,,,,,,,,,,,,,,,,,
ESO491-021,,,,0.95710975,0.33617643,C,,,,,,,,,,,,,,,,,,,,,
ESO493-016,17.77409,18.8656164575,,,,,,,,,,,,,,,,,,,,,,,,,
ESO495-021,2.8876941,0.588149671289,,0.7770652,0.28032732,,,,,,,,,,,,,,,,,,,,,,
ESO549-035,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO560-004,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO603-031,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS98117,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC0010,50.775578,11.2852907544,e,18.381283,6.2674484,e,5.809357,1.365052,e,1.219556,0.16350807,e,0.4164036,0.15857492,,,,,,,,,,,,,
IC0335,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC0342,70.700195,12.1518008801,e,17.957123,3.6996672,e,4.470382,0.9024466,e,1.1507024,0.21618545,e,,,,,,,,,,,,,,,
IC0610,1.3730787,0.286973822821,,,,,,,,,,,,,,,,,,,,,,,,,
IC0691,,,,,,,,,,,,,,,,,,,,,,,,,0.5512482,0.27572072,
IC0755,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC0781,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC0782,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC0783,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC0794,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC0797,0.42736176,0.474462506583,,,,,,,,,,,,,,,,,,,,,,,,,
IC0800,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC0902,1.720262,0.337002742534,,0.6980706,0.21143937,,0.29425588,0.09862739,,,,,,,,,,,,,,,,,,,
IC0976,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC1613,,,,0.8268285,0.17927931,,,,,,,,,,,,,,,,,,,,,,
IC2085,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC2163,10.357793,0.928965145441,C,,,,,,,0.1844185,0.08562658,,,,,,,,,,,,,,,,
IC2233,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC2461,1.193293,0.197180815536,,,,,,,,,,,,,,,,,,,,,,,,,
IC2531,3.4998581,0.595834823712,,1.1799642,0.28957245,,0.3135844,0.17426388,,,,,,,,,,,,,,,,,,,
IC2574,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC2828,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3019,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3021,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3023,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3033,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3044,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3059,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3061,1.0372509,0.273525923346,,,,,,,,,,,,,,,,,,,,,,,,,
IC3065,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3077,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3096,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3099,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3100,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3102,0.8726881,0.695847596963,,,,,,,,,,,,,,,,,,,,,,,,,
IC3104,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3105,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3115,0.34506604,0.45034376568,,,,,,,,,,,,,,,,,,,,,,,,,
IC3131,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3167,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3229,,,,,,,,,,,,,,,,,,,,,,,,,,,
