#Tau a1 a2 a3 a4 a5 FUV-H FUV-i FUV-r FUV-g FUV-B
2.6 0.02025 0.06107 0.07212 0.10588 -0.01517 10.5 7.5 7.3 6.7 6.3
2.8 0.02355 0.06934 0.08725 0.10339 -0.01526 10.0 7.0 6.9 6.3 5.9
3   0.03404 0.09645 0.12452 0.09679 -0.01548 9.6  6.6 6.5 5.9 5.6
3.2 0.05822 0.15524 0.17801 0.08664 -0.01593 9.2  6.2 6.1 5.6 5.2
3.4 0.09944 0.24160 0.23161 0.07580 -0.01671 8.8  5.9 5.8 5.3 4.9
3.6 0.15293 0.33799 0.27713 0.06638 -0.01792 8.4  5.5 5.4 5.0 4.6
3.8 0.20982 0.42980 0.31431 0.05909 -0.01957 8.1  5.2 5.1 4.7 4.3
4.  0.26302 0.51013 0.34522 0.05377 -0.02164 7.8  4.9 4.8 4.4 4.1
4.2 0.30899 0.57732 0.37157 0.05000 -0.02399 7.5  4.6 4.6 4.2 3.8
4.4 0.34695 0.63224 0.39438 0.04739 -0.02650 7.2  4.3 4.3 3.9 3.6
4.6 0.37760 0.67674 0.41420 0.04555 -0.02900 6.9  4.1 4.0 3.7 3.3
4.8 0.40210 0.71272 0.43139 0.04426 -0.03140 6.6  3.8 3.8 3.5 3.1
5.  0.42168 0.74191 0.44624 0.04332 -0.03362 6.3  3.6 3.6 3.3 2.9
5.4 0.45013 0.78536 0.47009 0.04210 -0.03745 5.8  3.1 3.1 2.9 2.5
5.8 0.46909 0.81520 0.48787 0.04138 -0.04050 5.4  2.7 2.7 2.5 2.1
6.2 0.48223 0.83642 0.50127 0.04092 -0.04288 5.0  2.3 2.3 2.1 1.8
6.6 0.49167 0.85201 0.51152 0.04060 -0.04475 4.6  1.9 2.0 1.8 1.5
7.  0.49867 0.86377 0.51952 0.04038 -0.04624 4.2  1.6 1.6 1.5 1.1
8.  0.50994 0.88311 0.53315 0.04004 -0.04883 4.0  1.2 1.3 1.2 1.0
