#c24 c70 c100 c160 c250 R2 CV(RMSE)
3.925 1.551 -- -- -- 0.86 1.29
2.421 -- 1.410 -- -- 0.99 0.29
3.854 -- -- 1.373 -- 0.95 0.79
5.179 -- -- -- 3.196 0.93 0.90
-- 0.458 1.444 -- -- 0.98 0.47
-- 0.999 -- 1.226 -- 0.97 0.62
-- 1.306 -- -- 2.752 0.98 0.53
-- -- 1.239 0.620 -- 0.92 0.98
-- -- 1.403 -- 1.242 0.92 0.98
-- -- -- 2.342 -0.944 0.74 1.73
2.162 0.185 1.319 -- -- 0.99 0.26
2.126 0.670 -- 1.134 -- 0.99 0.37
2.317 0.922 -- -- 2.525 0.99 0.29
2.708 -- 0.734 0.739 -- 0.97 0.55
2.561 -- 0.993 -- 1.338 0.98 0.53
3.826 -- -- 1.460 -0.237 0.95 0.77
-- 0.789 0.387 0.960 -- 0.97 0.62
-- 0.688 0.795 -- 1.634 0.97 0.62
-- 1.018 -- 1.068 0.402 0.97 0.63
-- -- 1.363 0.097 1.090 0.91 0.99
2.051 0.521 0.294 0.934 -- 0.99 0.38
1.983 0.427 0.708 -- 1.561 0.99 0.38
2.119 0.688 -- 0.995 0.354 0.99 0.38
2.643 -- 0.836 0.357 0.791 0.97 0.57
-- 0.767 0.503 0.558 0.814 0.96 0.64
2.013 0.508 0.393 0.599 0.680 0.99 0.40
