#Tc,KcolP250,KcolP350,KcolP500,KcolE250,KcolE350,KcolE500
-4.0,0.9800,0.9791,0.9333,0.9406,0.9409,0.8696
-3.5,0.9884,0.9875,0.9525,0.9550,0.9551,0.8977
-3.0,0.9948,0.9940,0.9687,0.9677,0.9676,0.9236
-2.5,0.9992,0.9986,0.9817,0.9786,0.9785,0.9471
-2.0,1.0016,1.0011,0.9913,0.9877,0.9876,0.9678
-1.5,1.0019,1.0016,0.9974,0.9948,0.9948,0.9855
-1.0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
-0.5,0.9960,0.9963,0.9990,1.0031,1.0032,1.0111
0.0,0.9899,0.9906,0.9945,1.0041,1.0044,1.0187
0.5,0.9818,0.9829,0.9864,1.0031,1.0035,1.0226
1.0,0.9716,0.9732,0.9751,0.9999,1.0006,1.0229
1.5,0.9594,0.9615,0.9606,0.9945,0.9955,1.0195
2.0,0.9454,0.9481,0.9432,0.9871,0.9885,1.0126
2.5,0.9296,0.9329,0.9230,0.9776,0.9794,1.0022
3.0,0.9121,0.9161,0.9005,0.9661,0.9684,0.9885
3.5,0.8930,0.8978,0.8757,0.9527,0.9555,0.9717
4.0,0.8725,0.8780,0.8492,0.9375,0.9409,0.9521
4.5,0.8507,0.8571,0.8210,0.9206,0.9245,0.9298
5.0,0.8278,0.8350,0.7916,0.9020,0.9067,0.9053
