#T,KcolP250,KcolP350,KcolP500,KcolE250,KcolE350,KcolE500
3.0,0.63,0.88,0.98,0.5487,0.7998,0.9031
4.0,0.85,0.99,1.04,0.7688,0.9370,1.0122
5.0,0.96,1.02,1.04,0.8922,0.9944,1.0469
6.0,1.01,1.03,1.03,0.9591,1.0172,1.0543
7.0,1.03,1.02,1.01,0.9948,1.0246,1.0517
8.0,1.03,1.01,0.99,1.0132,1.0251,1.0456
9.0,1.03,1.00,0.98,1.0220,1.0224,1.0387
10.0,1.02,0.99,0.96,1.0253,1.0184,1.0320
15.0,0.99,0.96,0.92,1.0149,0.9977,1.0068
20.0,0.96,0.94,0.90,0.9993,0.9837,0.9926
25.0,0.94,0.92,0.89,0.9875,0.9748,0.9840
30.0,0.93,0.91,0.88,0.9790,0.9687,0.9783
35.0,0.92,0.91,0.88,0.9728,0.9645,0.9743
40.0,0.91,0.90,0.87,0.9681,0.9613,0.9714
