# Calzetti et al. 1994
# Wavelength_Angstrom	Alambda_Av
      90.900002     8256.015625 
      93.500008     7550.217773 
      96.099998     6920.799316 
      97.699997     6567.044434 
      99.599998     6176.806641 
     102.000000     5725.740723 
     103.800003     5415.115723 
     105.599998     5125.963867 
     107.699997     4813.364258 
     110.400002     4446.714844 
     114.000000     4012.047607 
     117.800003     3610.933105 
     121.300003     3286.142578 
     124.800003     2998.048584 
     127.099998     2826.277832 
     128.399994     2734.774658 
     130.500000     2594.856689 
     132.399994     2476.103027 
     133.899994     2387.245605 
     136.600006     2237.370117 
     139.800003     2075.019287 
     143.300003     1914.347290 
     147.199997     1753.615479 
     151.000000     1613.265381 
     155.199997     1474.429565 
     158.800003     1367.376831 
     162.000000     1280.424561 
     166.000000     1181.410767 
     170.300003     1085.604004 
     173.399994     1022.614014 
     176.800003      958.781372 
     180.199997      899.935486 
     181.699997      875.436646 
     186.100006      808.299927 
     191.000000      741.042847 
     193.899994      704.567993 
     198.399994      652.358337 
     201.800003      616.130188 
     205.000000      584.331116 
     210.500000      534.376831 
     216.199997      488.171600 
     219.800003      461.574615 
     223.000000      439.452728 
     226.800003      414.892273 
     230.000000      395.540009 
     234.000000      372.922424 
     240.000000      341.965240 
     246.500000      311.992218 
     252.399994      287.597351 
     256.799988      270.951355 
     260.000000      259.601105 
     264.000000      246.240707 
     268.500000      232.226593 
     273.500000      217.810150 
     278.500000      204.500305 
     284.000000      191.017456 
     290.000000      177.556946 
     296.000000      165.266006 
     301.000000      155.829819 
     308.000000      143.726135 
     318.000000      128.409302 
     328.000000      115.087303 
     338.000000      103.456238 
     348.000000       93.265244 
     357.000000       85.151703 
     366.000000       77.907654 
     375.000000       71.424103 
     385.000000       64.999023 
     395.000000       59.288662 
     405.000000       54.200405 
     414.000000       50.087353 
     422.000000       46.760330 
     430.000000       43.711018 
     441.000000       39.922550 
     451.000000       36.838421 
     460.000000       34.321770 
     470.000000       31.781652 
     480.000000       29.482025 
     490.000000       27.396515 
     500.000000       25.502012 
     506.000000       24.448473 
     512.000000       23.452421 
     520.000000       22.207493 
     530.000000       20.773968 
     540.000000       19.463835 
     550.000000       18.264835 
     560.000000       17.166075 
     570.000000       16.157900 
