# ABS is the dust attenuation cross-section, with R_V=A(V)/E(B-V)=3.1
# This is the attenuation law described in the paper
# To Apply multiply the galaxy spectrum by exp(-Dust_column*ABS)
# The Dust Column is an integrated depth that gives a certain A(V) :
# where A(V)=-2.5*log10(exp(-dust_col*abs[V_band]))
# as an example, the dust_col for 5 A(V)s has been included
#  
# A(V)        0.0      0.5      1.0      2.0      4.0     10.0
# dust_col   0.00000  2.02923  4.05845  8.11690 16.23380 40.58450
# 
# Notes added by Sébastien Viaene, Dec 27, 2015:
# In practice, compute the Av attenuation using equation 4 of Kreckel et al. 2013
# This assumes a screen geometry, which is not completely unrealistic for star forming regions.
# Av,screen = 0.67* Dust_column / 1e5 Msun/kpc2 with Dust_column in Msun/kpc2
#
# Then, to compute the attenuation at any other wavelength:
# A_lambda = Abs_lambda / Abs_V * Av
 
# wavel. (um)   Abs()
 7.76812E+05  7.19172E-12
 7.10418E+05  7.86012E-12
 6.49699E+05  9.39796E-12
 5.94168E+05  1.12367E-11
 5.43385E+05  1.34351E-11
 4.96943E+05  1.60637E-11
 4.54469E+05  1.92065E-11
 4.15626E+05  2.29643E-11
 3.80102E+05  2.74573E-11
 3.47615E+05  3.28293E-11
 3.17904E+05  3.92523E-11
 2.90733E+05  4.69320E-11
 2.65884E+05  5.61143E-11
 2.43159E+05  6.70931E-11
 2.22376E+05  8.02198E-11
 2.03370E+05  9.59148E-11
 1.85988E+05  1.14681E-10
 1.70091E+05  1.37118E-10
 1.55554E+05  1.63945E-10
 1.42258E+05  1.96021E-10
 1.30100E+05  2.34372E-10
 1.18980E+05  2.80227E-10
 1.08811E+05  3.35053E-10
 9.95106E+04  4.00606E-10
 9.10056E+04  4.78985E-10
 8.32274E+04  5.72698E-10
 7.61139E+04  6.84746E-10
 6.96085E+04  8.18717E-10
 6.36590E+04  9.78899E-10
 5.82181E+04  1.17042E-09
 5.32423E+04  1.39941E-09
 4.86916E+04  1.67321E-09
 4.45299E+04  2.00057E-09
 4.07239E+04  2.39198E-09
 3.72433E+04  2.85997E-09
 3.40601E+04  3.41953E-09
 3.11490E+04  4.08855E-09
 2.84867E+04  4.88848E-09
 2.60519E+04  5.84491E-09
 2.38253E+04  6.98847E-09
 2.17889E+04  8.35576E-09
 1.99266E+04  9.99056E-09
 1.82235E+04  1.19452E-08
 1.66659E+04  1.42823E-08
 1.52415E+04  1.70766E-08
 1.39388E+04  2.04177E-08
 1.27475E+04  2.44124E-08
 1.16579E+04  2.91886E-08
 1.06615E+04  3.48994E-08
 9.75029E+03  4.17275E-08
 8.91694E+03  4.98915E-08
 8.15479E+03  5.96527E-08
 7.45781E+03  7.13237E-08
 6.82040E+03  8.52782E-08
 6.23746E+03  1.01963E-07
 5.70435E+03  1.21912E-07
 5.21680E+03  1.45764E-07
 4.77092E+03  1.74283E-07
 4.36315E+03  2.08381E-07
 3.99023E+03  2.49151E-07
 3.64919E+03  2.97897E-07
 3.33729E+03  3.56181E-07
 3.05205E+03  4.25867E-07
 2.79119E+03  5.09188E-07
 2.55263E+03  6.08811E-07
 2.33446E+03  7.27924E-07
 2.13493E+03  8.70343E-07
 1.95246E+03  1.04062E-06
 1.78558E+03  1.24422E-06
 1.63297E+03  1.48766E-06
 1.49340E+03  1.77872E-06
 1.36576E+03  2.12672E-06
 1.24903E+03  2.54281E-06
 1.14228E+03  3.04031E-06
 1.04465E+03  3.63515E-06
 9.90100E+02  4.34637E-06
 9.70686E+02  4.84272E-06
 9.44793E+02  5.02853E-06
 9.19768E+02  5.29304E-06
 9.01733E+02  5.57186E-06
 8.77681E+02  5.78631E-06
 8.54433E+02  6.09173E-06
 8.37680E+02  6.41364E-06
 8.15337E+02  6.66127E-06
 7.93740E+02  7.01396E-06
 7.78177E+02  7.38572E-06
 7.57419E+02  7.67252E-06
 7.37358E+02  8.08096E-06
 7.22900E+02  8.51115E-06
 7.03616E+02  8.84189E-06
 6.84981E+02  9.31322E-06
 6.71550E+02  9.81100E-06
 6.58382E+02  1.01941E-05
 6.45472E+02  1.05933E-05
 6.31206E+02  1.10087E-05
 6.17290E+02  1.14966E-05
 6.04552E+02  1.20062E-05
 5.92089E+02  1.25024E-05
 5.78074E+02  1.30191E-05
 5.64447E+02  1.36378E-05
 5.53015E+02  1.42863E-05
 5.41822E+02  1.48685E-05
 5.29965E+02  1.54755E-05
 5.18394E+02  1.61593E-05
 5.08080E+02  1.68735E-05
 4.97975E+02  1.75504E-05
 4.83784E+02  1.82553E-05
 4.70119E+02  1.93170E-05
 4.56721E+02  2.04406E-05
 4.41922E+02  2.16297E-05
 4.27343E+02  2.30806E-05
 4.15093E+02  2.46528E-05
 4.06953E+02  2.61151E-05
 3.98974E+02  2.71562E-05
 3.91151E+02  2.82390E-05
 3.82089E+02  2.93657E-05
 3.69943E+02  3.07553E-05
 3.59550E+02  3.27818E-05
 3.49304E+02  3.46982E-05
 3.39437E+02  3.67413E-05
 3.32781E+02  3.89070E-05
 3.24667E+02  4.04692E-05
 3.14180E+02  4.24960E-05
 3.05553E+02  4.53559E-05
 2.99561E+02  4.79555E-05
 2.92254E+02  4.98877E-05
 2.85158E+02  5.24093E-05
 2.79567E+02  5.50606E-05
 2.72747E+02  5.72955E-05
 2.66125E+02  6.02159E-05
 2.60907E+02  6.32846E-05
 2.54542E+02  6.58573E-05
 2.48362E+02  6.92040E-05
 2.41285E+02  7.27212E-05
 2.35552E+02  7.70588E-05
 2.30277E+02  8.09189E-05
 2.22608E+02  8.47193E-05
 2.17787E+02  9.07671E-05
 2.13055E+02  9.49083E-05
 2.09177E+02  9.92070E-05
 2.05343E+02  1.03022E-04
 2.00034E+02  1.06984E-04
 1.94334E+02  1.12922E-04
 1.88845E+02  1.19884E-04
 1.83430E+02  1.27286E-04
 1.77103E+02  1.35206E-04
 1.72192E+02  1.45535E-04
 1.68090E+02  1.54576E-04
 1.64101E+02  1.62792E-04
 1.61136E+02  1.71560E-04
 1.57663E+02  1.78571E-04
 1.52826E+02  1.87370E-04
 1.49340E+02  2.01099E-04
 1.46008E+02  2.12015E-04
 1.42414E+02  2.23419E-04
 1.39621E+02  2.36837E-04
 1.36884E+02  2.46664E-04
 1.33497E+02  2.55846E-04
 1.29586E+02  2.67837E-04
 1.27375E+02  2.81929E-04
 1.25492E+02  2.90426E-04
 1.23969E+02  2.98206E-04
 1.22441E+02  3.05260E-04
 1.20480E+02  3.12620E-04
 1.18812E+02  3.22583E-04
 1.16482E+02  3.31464E-04
 1.14102E+02  3.44993E-04
 1.11772E+02  3.59777E-04
 1.09580E+02  3.75370E-04
 1.07230E+02  3.91379E-04
 1.04513E+02  4.09776E-04
 1.01518E+02  4.32967E-04
 9.83678E+01  4.61174E-04
 9.54753E+01  4.93778E-04
 9.32654E+01  5.26750E-04
 9.08952E+01  5.54152E-04
 8.82953E+01  5.85730E-04
 8.62745E+01  6.23634E-04
 8.41967E+01  6.55569E-04
 8.14724E+01  6.90864E-04
 7.94801E+01  7.41373E-04
 7.80698E+01  7.82141E-04
 7.63215E+01  8.12542E-04
 7.47222E+01  8.52796E-04
 7.28389E+01  8.92188E-04
 7.08245E+01  9.41507E-04
 6.95995E+01  9.99055E-04
 6.83947E+01  1.03637E-03
 6.68869E+01  1.07478E-03
 6.50541E+01  1.12614E-03
 6.31413E+01  1.19290E-03
 6.15994E+01  1.26945E-03
 6.01057E+01  1.33534E-03
 5.87237E+01  1.40407E-03
 5.75243E+01  1.47175E-03
 5.64584E+01  1.53411E-03
 5.57130E+01  1.59283E-03
 5.48426E+01  1.63552E-03
 5.32877E+01  1.68684E-03
 5.17947E+01  1.78475E-03
 5.10358E+01  1.88585E-03
 5.02866E+01  1.94041E-03
 4.95366E+01  1.99605E-03
 4.87968E+01  2.05361E-03
 4.77733E+01  2.11187E-03
 4.68365E+01  2.19725E-03
 4.58572E+01  2.27862E-03
 4.51736E+01  2.36723E-03
 4.47602E+01  2.43267E-03
 4.40740E+01  2.47337E-03
 4.31574E+01  2.54117E-03
 4.22684E+01  2.63613E-03
 4.13327E+01  2.73361E-03
 4.04079E+01  2.83796E-03
