# Fitzpatrick and Massa 2007, Rv = 5
# Wavelength_Angstrom	Alambda_Av
   90.90000       5671.435    
   93.50001       5193.361    
   96.10000       4766.634    
   97.70000       4526.621    
   99.60000       4261.686    
   102.0000       3955.226    
   103.8000       3744.026    
   105.6000       3547.302    
   107.7000       3334.472    
   110.4000       3084.634    
   114.0000       2788.117    
   117.8000       2514.124    
   121.3000       2291.978    
   124.8000       2094.686    
   127.1000       1976.927    
   128.4000       1914.157    
   130.5000       1818.115    
   132.4000       1736.542    
   133.9000       1675.469    
   136.6000       1572.378    
   139.8000       1460.588    
   143.3000       1349.818    
   147.2000       1238.860    
   151.0000       1141.835    
   155.2000       1045.719    
   158.8000       971.4990    
   162.0000       911.1416    
   166.0000       842.3197    
   170.3000       775.6266    
   173.4000       731.7178    
   176.8000       687.1688    
   180.2000       646.0488    
   181.7000       628.9135    
   186.1000       581.9066    
   191.0000       534.7347    
   193.9000       509.1151    
   198.4000       472.3936    
   201.8000       446.8746    
   205.0000       424.4490    
   210.5000       389.1616    
   216.2000       356.4545    
   219.8000       337.5948    
   223.0000       321.8879    
   226.8000       304.4272    
   230.0000       290.6506    
   234.0000       274.5281    
   240.0000       252.4196    
   246.5000       230.9630    
   252.4000       213.4588    
   256.8000       201.4913    
   260.0000       193.3193    
   264.0000       183.6868    
   268.5000       173.5667    
   273.5000       163.1373    
   278.5000       153.4899    
   284.0000       143.6977    
   290.0000       133.9001    
   296.0000       124.9333    
   301.0000       118.0344    
   308.0000       109.1652    
   318.0000       97.90487    
   328.0000       88.07310    
   338.0000       79.45609    
   348.0000       71.87657    
   357.0000       65.81989    
   366.0000       60.39324    
   375.0000       55.51934    
   385.0000       50.67150    
   395.0000       46.34609    
   405.0000       42.47688    
   414.0000       39.33762    
   422.0000       36.78983    
   430.0000       34.44741    
   441.0000       31.52650    
   451.0000       29.13887    
   460.0000       27.18336    
   470.0000       25.20234    
   480.0000       23.40195    
   490.0000       21.76288    
   500.0000       20.26820    
   506.0000       19.43443    
   512.0000       18.64436    
   520.0000       17.65424    
   530.0000       16.51025    
   540.0000       15.46077    
   550.0000       14.49670    
   560.0000       13.60995    
   570.0000       12.79328    
   580.0000       12.04025    
   590.0000       11.34509    
   600.0000       10.70265    
   610.0000       10.10826    
   620.0000       9.557775    
   630.0000       9.047425    
   640.0000       8.573826    
