#c24 c70 c100 c160 c250 R2 CV(RMSE)
3.980 1.553 -- -- -- 0.84 2.78
2.453 -- 1.407 -- -- 0.99 0.68
3.901 -- -- 1.365 -- 0.90 2.12
5.288 -- -- -- 3.150 0.88 2.41
-- 0.463 1.442 -- -- 0.99 0.71
-- 1.010 -- 1.218 -- 0.98 0.94
-- 1.325 -- -- 2.717 0.99 0.70
-- -- 1.238 0.620 -- 0.93 1.85
-- -- 1.403 -- 1.242 0.93 1.84
-- -- -- 2.370 -1.029 0.73 3.58
2.192 0.187 1.314 -- -- 0.99 0.56
2.133 0.681 -- 1.125 -- 0.98 0.86
2.333 0.938 -- -- 2.490 0.99 0.66
2.739 -- 0.732 0.736 -- 0.96 1.42
2.594 -- 0.990 -- 1.334 0.96 1.36
3.868 -- -- 1.458 -0.252 0.91 2.08
-- 0.808 0.367 0.968 -- 0.98 0.95
-- 0.705 0.784 -- 1.639 0.98 0.92
-- 1.032 -- 1.051 0.423 0.98 0.95
-- -- 1.379 0.058 1.150 0.93 1.86
2.064 0.539 0.277 0.938 -- 0.98 0.86
1.999 0.443 0.696 -- 1.563 0.99 0.84
2.127 0.702 -- 0.974 0.382 0.98 0.87
2.667 -- 0.848 0.319 0.847 0.96 1.44
-- 0.783 0.497 0.540 0.852 0.98 0.97
2.023 0.523 0.390 0.577 0.721 0.98 0.89
