-----------------------------------------------------------
TABLE 8 S4G Pipeline 4 final decomposition parameters
-----------------------------------------------------------
For each galaxy a maximum of 4 different physical components was included to the fit, described with the GALFIT-functions 'sersic', 'expodisk', 'ferrers', and 'psf'.
Except for 'psf', the same GALFIT function could be used twice, for two distinct components: e.g. 'expodisk'-function for the inner and outer disk components.
The table lists the parameters for all 7 possible functions, empty entries ('-') indicating that this function was not used in the decomposition.

The table columns are: 
 (1) the running number (1-2352), 
 (2) the galaxy name, 
 (3) the type of final decomposition model, 
 (4) the number N of components in the final model , and 
 (5) the quality flag Q.

If no final decomposition was made (Q=1 or Q=2) then MODEL='-' and N=0.
The decomposition model codes the physical components assumed in the decomposition, formed by concatenation of component abbreviations,
e.g. "bdbar" contains bulge ("b"), disk ("d") and non-axisymmetric (mainly bars) ("bar") components, "dd" contains an inner and outer disk component etc.

The next columns indicate the parameters for each function:
  6- 8 for unresolved central component ('psf'; phys, frel,  mag), 
  9-15 for inner sersic-component ('sersic1'; phys,  frel,  mag,    re,    ar,      pa,    n), 
 16-22 for inner disk-component ('expo1'; phys,  frel,  mag,    hr,    ar,      pa,   mu0), 
 23-28 for inner ferrers-component ('ferrers1'; phys,  frel,  mu0,   rout,   ar,     pa),
 29-34 for inner edge-on disk component ('edgedisk1';  phys, frel, mu0,  rs,    hs,      pa ).

 35-41 for outer sersic-component ('sersic2'; phys,  frel,  mag,    re,    ar,      pa,    n), 
 42-49 for outer disk-component ('expo2'; phys,  frel,  mag,    hr,    ar,      pa,   mu0), 
 50-55 for outer ferrers-component ('ferrers2'; phys,  frel,  mu0,   rout,   ar,     pa),
 56-61 for outer edge-on disk component ('edgedisk2';  phys, frel, mu0,  rs,    hs,      pa ).

 For each function:
 
 the first entry stands for the physical intepretation of the component:
'N' for a central source (or unresolved bulge), 'B' for a bulge (or elliptical), 'D' for a disk, 'BAR' for a bar, and 'Z' for an edge-on disk.

 'rel    =  the relative contribution of the component to the total model flux, 
  mag    =  the component's total 3.6 micron AB magnitude,
  mu0    =  the central  surface brightness (mag/arcsec^2;  de-projected central surface brightness for expdisk and edgedisk, and
                                                          sky-plane central surface brightness for ferrer)
  ar     =  axial ratio 
  pa     =  position angle (degrees ccw from North) 
  n      =  sersic index
  hr     =  exponential scale lenght (arcsec)
  rs     =  radial scale lenght (arcsec)
  hs     =  vertical scale height (arcsec)
  rout   =  bar outer truncation radius (arcsec)

 All decompositions assume a fixed common center, indicated in Table I


--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#     IDE          MODEL  N Q | psf:           | sersic1:                                     | expo1:                                       | ferrers1:                             | edgedisk1:                          | sersic2                                      | expo2                                        |  ferrers2:                            | edgedisk2:         
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1     2            3      4 5   6    7     8     9     10    11     12    13      14    15      16    17    18     19    20      21   22       23    24    25    26     27    28       29   30   32     32    33      34     35    36   37     38     39   40   41          42    43    44     45    46     48    49       50    51    52    53     54     55      56   57   58     59    60     61       
                              | phys frel  mag | phys  frel  mag    re    ar      pa    n     | phys  frel  mag    hr    ar      pa   mu0    | phys  frel  mu0   rout   ar     pa    | phys frel mu0    rs    hs      pa   | phys  frel  mag   re     ar    pa  n         | phys  frel  mag    hr    ar     pa    mu0    | phys  frel  mu0   rout   ar     pa    | phys frel mu0    rs    hs     pa   
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1     ESO011-005  bz      2 4 |    -      -    |B    0.571 14.822   36.7  0.354   40.4  3.001 |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  0.429 20.912    9.8  2.955   43.9 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
2     ESO012-010  dbar    2 5 |    -      -    |      -      -      -      -      -      -    |D    0.944 13.445   34.0  0.458  146.2 23.095 |BAR  0.056 22.177   21.1  0.390   24.2 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
3     ESO012-014  dbar    2 4 |    -      -    |      -      -      -      -      -      -    |D    0.835 14.795   33.2  0.420   31.0 24.393 |BAR  0.165 24.704   83.0  0.249   11.1 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
4     ESO013-016  dbarf   2 5 |    -      -    |      -      -      -      -      -      -    |D    0.963 12.802   21.1  0.657  165.7 21.415 |BAR  0.037 20.882   17.2  0.207  165.7 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
5     ESO015-001  dbar    2 5 |    -      -    |      -      -      -      -      -      -    |D    0.777 14.628   23.9  0.414  125.7 23.516 |BAR  0.223 22.890   52.5  0.199  102.9 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
6     ESO026-001  ndbar   3 5 |N  0.008 18.145 |      -      -      -      -      -      -    |D    0.933 12.978   19.4  0.940   19.3 21.413 |BAR  0.059 20.202   12.6  0.285   69.6 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
7     ESO027-001  bdbar   3 5 |    -      -    |B    0.087 13.985    1.9  0.368   58.0  3.257 |D    0.839 11.518   24.7  0.784   12.5 20.475 |BAR  0.075 20.555   31.2  0.363   62.3 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
8     ESO027-008  dn      2 5 |N  0.014 16.174 |      -      -      -      -      -      -    |D    0.986 11.516   23.7  0.333  145.1 20.381 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
9     ESO048-017  ndbar   3 5 |N  0.006 19.862 |      -      -      -      -      -      -    |D    0.856 14.452   20.7  0.530   63.0 23.023 |BAR  0.138 21.755   26.8  0.176   59.9 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
10    ESO054-021  dbar    2 5 |    -      -    |      -      -      -      -      -      -    |D    0.934 12.081   47.1  0.486   88.4 22.442 |BAR  0.066 21.508   24.8  0.644   41.7 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
